timestamp,gun_id,rank,point
1765143667.5346503,1029,22,15125036
1765143667.5346503,1035,23,15021835
1765143667.5346503,1008,24,14869277
1765143667.5346503,1022,25,14814151
1765143667.5346503,1033,26,14764153
1765143667.5346503,1001,27,14761589
1765143667.5346503,1009,28,14705822
1765143667.5346503,1037,29,14698130
1765143667.5346503,1015,30,14673772
1765143667.5346503,1023,31,14563520
1765143667.5346503,1045,32,14504548
1765143667.5346503,1024,33,14427628
1765143667.5346503,1053,34,14335965
1765143667.5346503,1050,35,14327632
1765143667.5346503,1026,36,14316094
1765143667.5346503,1043,37,14290454
1765143667.5346503,1040,38,14254558
1765143667.5346503,1038,39,14227636
1765143667.5346503,1041,40,14201996
1765143667.5346503,1036,41,14200073
1765147450.6098592,1052,1,68338192
1765147450.6098592,1017,2,41552792
1765147450.6098592,1056,3,27168144
1765147450.6098592,1034,4,21288251
1765147450.6098592,1025,5,19917152
1765147450.6098592,1047,6,19005650
1765147450.6098592,1039,7,18213374
1765147450.6098592,1044,8,18134531
1765147450.6098592,1013,9,17644807
1765147450.6098592,1064,10,17302513
1765147450.6098592,1055,11,16958937
1765147450.6098592,1051,12,16437163
1765147450.6098592,1042,13,15961541
1765147450.6098592,1057,14,15913466
1765147450.6098592,1028,15,15912825
1765147450.6098592,1027,16,15747447
1765147450.6098592,1059,17,15684629
1765147450.6098592,1054,18,15573095
1765147450.6098592,1021,19,15495534
1765147450.6098592,1048,20,15260928
1765147450.6098592,1032,21,15231442
1765147450.6098592,1029,22,15183367
1765147450.6098592,1035,23,15076961
1765147450.6098592,1008,24,14928249
1765147450.6098592,1022,25,14868636
1765147450.6098592,1033,26,14819279
1765147450.6098592,1001,27,14817997
1765147450.6098592,1009,28,14759025
1765147450.6098592,1037,29,14751974
1765147450.6098592,1015,30,14728257
1765147450.6098592,1023,31,14616082
1765147450.6098592,1045,32,14559033
1765147450.6098592,1024,33,14480831
1765147450.6098592,1053,34,14388527
1765147450.6098592,1050,35,14380835
1765147450.6098592,1026,36,14368015
1765147450.6098592,1043,37,14344298
1765147450.6098592,1040,38,14307120
1765147450.6098592,1038,39,14281480
1765147450.6098592,1041,40,14253917
1765147450.6098592,1036,41,14251353
1765150967.181012,1052,1,68561868
1765150967.181012,1017,2,41969896
1765150967.181012,1056,3,27267499
1765150967.181012,1034,4,21369658
1765150967.181012,1025,5,19993431
1765150967.181012,1047,6,19079365
1765150967.181012,1039,7,18287089
1765150967.181012,1044,8,18203759
1765150967.181012,1013,9,17714676
1765150967.181012,1064,10,17378792
1765150967.181012,1055,11,17030088
1765150967.181012,1051,12,16501904
1765150967.181012,1042,13,16024359
1765150967.181012,1028,14,15981412
1765150967.181012,1057,15,15978207
1765150967.181012,1027,16,15811547
1765150967.181012,1059,17,15748088
1765150967.181012,1054,18,15637195
1765150967.181012,1021,19,15567967
1765150967.181012,1048,20,15329515
1765150967.181012,1032,21,15294901
1765150967.181012,1029,22,15247467
1765150967.181012,1035,23,15141061
1765150967.181012,1008,24,14996195
1765150967.181012,1022,25,14931454
1765150967.181012,1001,26,14882097
1765150967.181012,1033,27,14882097
1765150967.181012,1009,28,14823125
1765150967.181012,1037,29,14812869
1765150967.181012,1015,30,14790434
1765150967.181012,1023,31,14676977
1765150967.181012,1045,32,14625697
1765150967.181012,1024,33,14543649
1765150967.181012,1053,34,14450063
1765150967.181012,1050,35,14441730
1765150967.181012,1026,36,14428910
1765150967.181012,1043,37,14407116
1765150967.181012,1040,38,14369938
1765150967.181012,1038,39,14343657
1765150967.181012,1041,40,14316094
1765150967.181012,1036,41,14313530
1765157581.5892005,1052,1,69080064
1765157581.5892005,1017,2,42738832
1765157581.5892005,1056,3,27469414
1765157581.5892005,1034,4,21545292
1765157581.5892005,1025,5,20148553
1765157581.5892005,1047,6,19230000
1765157581.5892005,1039,7,18437724
1765157581.5892005,1044,8,18366573
1765157581.5892005,1013,9,17863388
1765157581.5892005,1064,10,17527504
1765157581.5892005,1055,11,17177518
1765157581.5892005,1051,12,16642283
1765157581.5892005,1042,13,16165379
1765157581.5892005,1028,14,16121791
1765157581.5892005,1057,15,16117945
1765157581.5892005,1027,16,15946157
1765157581.5892005,1059,17,15887826
1765157581.5892005,1054,18,15775010
1765157581.5892005,1021,19,15718602
1765157581.5892005,1048,20,15470535
1765157581.5892005,1032,21,15429511
1765157581.5892005,1029,22,15390410
1765157581.5892005,1035,23,15276953
1765157581.5892005,1008,24,15141061
1765157581.5892005,1022,25,15067987
1765157581.5892005,1033,26,15021194
1765157581.5892005,1001,27,15019271
1765157581.5892005,1009,28,14959658
1765157581.5892005,1037,29,14951966
1765157581.5892005,1015,30,14923121
1765157581.5892005,1023,31,14810946
1765157581.5892005,1045,32,14763512
1765157581.5892005,1024,33,14676977
1765157581.5892005,1053,34,14584032
1765157581.5892005,1050,35,14575058
1765157581.5892005,1026,36,14560315
1765157581.5892005,1043,37,14541726
1765157581.5892005,1040,38,14501343
1765157581.5892005,1038,39,14477626
1765157581.5892005,1041,40,14449422
1765157581.5892005,1036,41,14446858
1765160780.1385958,1052,1,69350704
1765160780.1385958,1017,2,43165488
1765160780.1385958,1056,3,27564282
1765160780.1385958,1034,4,21636314
1765160780.1385958,1025,5,20221627
1765160780.1385958,1047,6,19303074
1765160780.1385958,1039,7,18519131
1765160780.1385958,1044,8,18442211
1765160780.1385958,1013,9,17938385
1765160780.1385958,1064,10,17603783
1765160780.1385958,1055,11,17252515
1765160780.1385958,1051,12,16715357
1765160780.1385958,1042,13,16236530
1765160780.1385958,1028,14,16189737
1765160780.1385958,1057,15,16187814
1765160780.1385958,1027,16,16015385
1765160780.1385958,1059,17,15953208
1765160780.1385958,1054,18,15841674
1765160780.1385958,1021,19,15789112
1765160780.1385958,1048,20,15538481
1765160780.1385958,1032,21,15496816
1765160780.1385958,1029,22,15456433
1765160780.1385958,1035,23,15344899
1765160780.1385958,1008,24,15209648
1765160780.1385958,1022,25,15134651
1765160780.1385958,1033,26,15087858
1765160780.1385958,1001,27,15087217
1765160780.1385958,1009,28,15022476
1765160780.1385958,1037,29,15016066
1765160780.1385958,1015,30,14989144
1765160780.1385958,1023,31,14876328
1765160780.1385958,1045,32,14828894
1765160780.1385958,1024,33,14742359
1765160780.1385958,1053,34,14646850
1765160780.1385958,1050,35,14639799
1765160780.1385958,1026,36,14625056
1765160780.1385958,1043,37,14606467
1765160780.1385958,1040,38,14565443
1765160780.1385958,1038,39,14543649
1765160780.1385958,1041,40,14514804
1765160780.1385958,1036,41,14510958
